"Nome_u"	"Dia_P"	"Mes_P"	"Ano_P"	"Cidade"	"Estado"	"Mes_exp"	"Ano_exp"	"Comentario"
"92"	"G_S_A-DF"	"28"	"maio"	"2015"	"Brasília"	"DF"	"julho"	"2014"	"Local muito legal e divertido. Água que brota da terra e faz com que o banhista não afunde. Água transparente... Depois haja disposição para tirar a areia acumulada das roupas... :)"
"93"	"MarinaJL2014"	"28"	"maio"	"2015"	"Ribeirão Preto"	"SP"	"maio"	"2015"	"Lugar único! não só pela beleza, mas pela emoção de sentir a nascente sob os pés. Não tocar o fundo e não afundar. Fundamental os cuidados que estão sendo tomados para a conservação do lugar. Vale a pena conferir!!!"
"94"	"MelinaFormagio"	"27"	"maio"	"2015"	"São Paulo"	"SP"	"maio"	"2015"	"Não imaginava que existissse algo assim,  no começo assusta, a reação das pessoas são as mais diversas, vale muito a pena."
"95"	"Itamar C"	"25"	"maio"	"2015"	"Estado São"	"Paulo"	"maio"	"2015"	"Atração diferente de todas que experimentei. Sensação de flutuar na água morna e \"andar \" na água é indescritível. Recomendo."
"96"	"brasildosmeusolhos"	"20"	"maio"	"2015"	"Rio Janeiro"	"RJ"	"janeiro"	"2015"	"A sensação do fervedouro me fez achar que estava flutuando nas nuvens. Uma coisa inexplicável! Além da água ser cristalina e o banho super refrescante."
"97"	"ShirleyFerreira"	"10"	"maio"	"2015"	"Santos"	"SP"	"novembro"	"2014"	"Lindo, diferente e inusitado! Há vários fervedouros no Jalapão. Alguns abertos - com mais sol - e outros mais fechados- com arvores. Vale a pena conhecer e, logico, entrar!!"
"98"	"carlui99"	"30"	"abril"	"2015"	"Santos"	"SP"	"fevereiro"	"2015"	"Um fervedouro é algo muito diferente de tudo que já vi. Só entrando para entender.** Leve camera para fotos embaixo d'agua, vale muito a pena"
"99"	"Reinaldo O"	"30"	"abril"	"2015"	"Guarulhos"	"SP"	"abril"	"2015"	"Por mais que você passe por dificuldades para chegar nos atrativos do Jalapão, com certeza você esquecerá quando cair nas águas do fervedouro, uma sensação única que jamais você esquecerá. Paga-se 10,00 reais maioria dos fervedouros ( talvez todos tem esse valor)."
"100"	"Rand_allemand"	"28"	"abril"	"2015"	"Auckland Nova"	"Zelândia"	"março"	"2015"	"O fervedouro do ceiça (no inicio da estrada que leva à comunidade do Mumbuca) é o mais belo da região e, segundo os locais, o único que não teve alteração nenhuma feita pelo homem.As aguas que afloram da areia branca e fininha mantém o turista flutuando mesmo que tente submergir.Estaciona-se na estrada e até chegar ao fervedouro, percorre-se uma agradavel trilha de não mais do que 300m.O único \"porém\" dessa atração é a limitação de tempo e pessoas (apesar de ser absolutamente compreensível pela preservação do local) em alta temporada só é permitida a permanencia por 20 minutos por conta da quantidade de turistas que visitam o local. Fui na baixa temporada, então consegui aproveitar muito por lá! incrivelmente relaxante!"
"101"	"daninoguei"	"25"	"abril"	"2015"	"São Paulo"	"SP"	"fevereiro"	"2015"	"Nunca tinha entrado num fervedouro e achei MUITO divertida a sensação da areia que sobe massageando o corpo!Tem tempo limitado para permanecer na área.Muito bonito!"
"102"	"Donizeth P"	"23"	"abril"	"2015"	"São Paulo São"	"Paulo"	"março"	"2015"	"Uma pequena trilha leva até o fervedouro, onde água brota cristalina e com temperatura agradável. Rodeado de bananeiras, você entra e fica com areia até os joelhos e não afunda, uma experiência curiosa, mesmo sabendo que é devido a pressão da água que brota ali. Só pode entrar de 6 em 6 pessoas no local, para própria preservação do local. Um senhor, que é o proprietário cobra R$ 10 por pessoa e controla a entrada das pessoas."
"103"	"NagibHachem"	"20"	"abril"	"2015"	"Brasília"	"DF"	"fevereiro"	"2015"	"Vale a pena, realmente os fervedouros são atração do jalapão, atendimento em um deles que fui muito amistoso"
"104"	"Jerry B"	"18"	"abril"	"2015"	"Mount Vernon"	"Washington"	"abril"	"2015"	"Foi uma das coisas melhores do Jalapao. Um fenomeno que nao pode explicar e tem que conhecer de primeira mao. E foi ainda melhor que em varios estavamos sozinhos."
"105"	"silviodscosta"	"12"	"abril"	"2015"	"São Paulo"	"SP"	"fevereiro"	"2015"	"Não deixe de conhecer e entrar nestes oásis do Jalapão, a sensação é incrível, as águas são límpidas e a experiência é inesquecível."
"106"	"Carolamel"	"8"	"abril"	"2015"	"São Paulo"	"SP"	"abril"	"2015"	"Amei a experiência nesse fervedouro e muito bonito. Louvável a experiência de se limitar o número de habitantes, para evitar que a atração seja degradada."
"107"	"Cristiane_HT"	"30"	"março"	"2015"	"São Paulo"	"SP"	"maio"	"2014"	"É uma atração diferente que vale a pena conhecer. Mas tome cuidado, pois essa história de que como vc não afunda não tem como se afogar é perigosa. Minha mãe quase se afogou. Graças à Deus nada de mal aconteceu, pois se precisasse se algum socorro não ia ter o que fazer, pois é um lugar muito distante de tudo. Passado o susto, até que deu pra aproveitar."
"108"	"Flor1111"	"24"	"março"	"2015"	"São Paulo"	"SP"	"novembro"	"2014"	"Este é sem dúvida o mais fraco de todos os fervedouros que eu visitei, em minha modesta opinião. Para começar, não fica ninguém no local. Quando eu e meu marido chegamos ao portão de entrada, apareceu um motoqueiro do nada, dizendo que a entrada custava R$ 10,00 (preço de novembro/2014). Ficamos receosos em pagar, porque o motoqueiro não entrou conosco. Ele recebeu o dinheiro do lado de fora. Perguntei a ele se haveria outra pessoa lá dentro que nos cobraria novamente e ele garantiu que não, pois ele era o proprietário. Ele recebeu, nos instruiu como chegar ao fervedouro e foi embora. O nosso carro, que era alugado, ficou na rua, pois não tem estacionamento, e você entra à pé para acessar o fervedouro. E é uma longa caminhada no meio do mato. Lá dentro não havia ninguém mesmo. O fervedouro tem pouca pressão e é o mais raso de todos que frequentei. Há fervedouros melhores para visitar."
"109"	"tuliotsuji"	"19"	"março"	"2015"	"Imperatriz"	"MA"	"outubro"	"2014"	"Fervedouro?! Não digo o que é! Vai lá e descubra!!! Delicie-se!!! São vários os fervedouros na região, mas cada um com seu toque especial!"
"110"	"eduardoe292"	"4"	"março"	"2015"	"Buenos Aires"	"Argentina"	"junho"	"2014"	"Experimentei uma sensação diferente de sentir uma coisa e ver outra! É chocante a sensação de seu corpo ficar\"levitando\" dentro da água mesmo vc se esforçando para tentar afundar! Lugar único!"
"111"	"Ivosan"	"23"	"fevereiro"	"2015"	"Salvador"	"BA"	"fevereiro"	"2015"	"uma experiência muito . agradável e surpreendente em adentrarmos um fervedouro. As areias movediças e o a agua que sai por debaixo delas e não deram que nos afundemos e' algo que por vezes recusamos a aceitar e ficamos que nem criança insistindo em tentar afundar. Tenho 62 anos e estava com minhas duas filhas e tive uma experiência que por pouco não resultou numa tragédia. Fomos com um contratado através da empresa Jalapao Ecotour e ele simplesmente nos deixou na fervedouro, e saiu com o encarregado do fervedouro para conversarem na recepção do fervedouro. Ficamos durante muito tempo a sós e nesse ínterim levado pela agua para o centro do fervedouro e tive uma caibra que me impediu de vir a margem. Fiquei desesperado e as minhas filhas idem pois vi-me quase afogando e sem alguém para me socorrer. Por sorte as minhas filhas vieram em meu socorro e saímos dali imediatamente ao encontro dos dois que estavam deitados numa rede conversando e aguardando o tempo de nossa saída. Fiz-lhes severas criticas e ate fiquei preocupado de continuar a viagem. Não entrem e nem fiquem no fervedouro sem companhia pois inclusive ouvi relatos de outros turistas que quase se afogaram mas eles felizmente foram salvos pelos guias, o que não aconteceria comigo pois o guia da Jalapao Ecotur nem o encarregado do Fervedouro do Ceic,a (Seissa)  Portanto cuidadoMais"
"112"	"ayrNeto"	"22"	"fevereiro"	"2015"	"Ribeirão Preto"	"SP"	"outubro"	"2014"	"Fenomenal, muito impressionante, um daqueles lugares únicos na terra.Para quem gosta de ecoturismo não pode deixar de conhecer."
"113"	"Daniel S"	"21"	"fevereiro"	"2015"	"Foz do Iguaçu"	"PR"	"fevereiro"	"2015"	"Qualquer explicação seria insuficiente, é necessário vivenciar essa sensação! É como se fosse uma areia movediça ao contrário, uma nascente que brota com força em um poção, te empurrando pra cima e não permitindo que qualquer um consiga afundar."
"114"	"umavoltaemeia"	"21"	"fevereiro"	"2015"	"Perth"	"Austrália"	"fevereiro"	"2015"	"São vários os fervedouros na região do Jalapão. O mais conhecido é o do Ceiça e em feriados fica bem cheio, tendo 20 minutos de limite de permanência no fervedouro para que outro grupo possa entrar. Eu achei o fervedouro dos Buritis mais bonito e com água mais transparente que o do Ceiça, mas a saída de água da nascente do Ceiça é mais forte que a dos Buritis.É incrível a experiência de não conseguirmos afundar perto da saída de água! Imperdível conhecer os fervedouros. Cobraram R$10,00 em ambos os fervedouros."
"115"	"Poiapaula"	"19"	"fevereiro"	"2015"	"São Paulo"	"SP"	"fevereiro"	"2015"	"Você estar com areia até o joelho mas ao mesmo tempo estar nadando é uma coisa que nunca pensei que iria sentir!é muito legal!!!!"
"116"	"426flavio"	"15"	"fevereiro"	"2015"	"Palmas"	"TO"	"fevereiro"	"2015"	"Existem vários fervedouros, cada um com uma beleza e particularidade, o jalapão é cercado de nascentes de água em meio a rochas de arenito onde a água brota com força e é extremamente limpa, o fervedouro dos buritis a areia tão fina parece creme de pera, o Fervedouro Rio Sono águas azuis e jardim ao redor, Fervedouro do Arnor o mais Azul de todos e o mais famoso e antigo indo para mateiros todo cercado de bananeiras."
"117"	"Patrickscastro"	"10"	"fevereiro"	"2015"	"Macaé"	"RJ"	"novembro"	"2014"	"Um lugar muito louco!! Por mais que você tente, você não afunda. Trata-se de um afloramento de um Rio subterrâneo que não te deixa afundar. Muito interessante."
"118"	"LeandroBRamos"	"9"	"fevereiro"	"2015"	"Vitória"	"ES"	"março"	"2014"	"Água que parece ferver mesmo,e o legal não afunda!Você sai revigorado pois massageia todo o corpo,detalhe água é morna podendo ir de manhã antes do sol esquentar pra valer!Mas tem um inconveniente,sai de lá cheio de areia na sunga,rsrsrs."
"119"	"Ronaldo M"	"2"	"fevereiro"	"2015"	"Porto Velho"	"RO"	"novembro"	"2014"	"Visitamos dois fervedouros no Jalapão. O primeiro era de um balneário, muito pequeno, apenas seis pessoas por vez. Mas a sensação de estar ali foi excelente.O segundo, na fazenda da Korubo era maior, mas não deu a mesma sensação, aé porque já não era surpresa. Mas foi muito bacana poder brincar com todos ao mesmo tempo."
"120"	"alexandre m"	"26"	"janeiro"	"2015"	"São Paulo"	"SP"	"dezembro"	"2014"	"Conheçam apenas um para entender o que é.acho que não vale a pena pagar para nadar em mais de um fervedouro.A piscina da pousada estava muito melhor"
"121"	"914cristinah"	"17"	"janeiro"	"2015"	"São Bernardo do Campo"	"SP"	"dezembro"	"2014"	"Fomos ao fervedouro e é uma experiência única, mas não foi tudo aquilo que imaginávamos. Há uma areia esquisita no fundo, mas vale a experiênca. Todos são cobrados, em média 10 reais, por isso levem dinheiro vivo. "
"122"	"Carla_Guimaraes"	"15"	"janeiro"	"2015"	"São Paulo"	"SP"	"janeiro"	"2015"	"Paga-se uma pequena taxa para visitar as nascentes, que são chamadas de Fervedouro. Há controle do número de visitantes e tempo para visitar, mas como só tinha nosso grupo no horário em que chegamos, não tivemos problemas com esta parte. Pode-se mergulhar no fervedouro e observar as nascentes por dentro da água. A água é quente e transparente. "
"123"	"freitas304"	"15"	"janeiro"	"2015"	"Recife"	"PE"	"junho"	"2014"	"São vários fervedouros na região do Jalapão e todos são maravilhosos. Vale muito ficar uns 03 dias em Mateiros e conhecer os vários fervedouros "
"124"	"barbaraschall"	"12"	"janeiro"	"2015"	"Munique"	"Alemanha"	"janeiro"	"2015"	"O Jalapão conta com dezenas de fervedouros, cada um com sua cor de água, que varia do verde esmeralda ao azul celeste tudo cristalino. O fervedouro é um olho d'água, ou seja uma nascente e a força da água é tanta que você não afunda nem toca o chão. Uma experiência única num lugar paradisíaco"
"125"	"AbilioHeiss"	"10"	"janeiro"	"2015"	"Curitiba"	"PR"	"dezembro"	"2014"	"lugares pequenos, onde tem nacedourro de água...água límpida...piscinas pequenas. vale a pena, mas pelo que me disseram, todas iguais, muito parecidas, viu uma, viu todas..."
"126"	"Fabiana M"	"9"	"janeiro"	"2015"	"Rio"	"Janeiro"	"janeiro"	"2015"	"Você não consegue afundar... A areia é super fininha. A água cristalina. Demais! Em alguns pontos, você vai afundando na areia, é muito legal! A trilha para chegar é super tranquila, sem dificuldades."
"127"	"Myrna B"	"4"	"janeiro"	"2015"	"São Paulo"	"SP"	"agosto"	"2014"	"Quando me disseram que ninguém consegue ficar parado no fundo deste lago eu duvidei e ainda fiz uma aposta. Mas quando se confere as características da lago é divinamente inesperado que realmente não se consegue afundar. Não deixe de viver esta experiencia."
"128"	"Luiz H"	"30"	"dezembro"	"2014"	NA	NA	"janeiro"	"2014"	"A experiência de entrar no fervedouro e não afundar é indescritível, só experimentando mesmo. Há mais de um ferevefouro. Um mais bonito que o outro."
"129"	"anacarolinaa732"	"29"	"dezembro"	"2014"	"Natal"	"RN"	"dezembro"	"2014"	"É incrível a experiência vivida nos fervedouros. Entrar na água e não afundar é algo inusitado. Vale a pena conferir."
"130"	"Marcelo C"	"16"	"dezembro"	"2014"	"São Paulo"	"SP"	"janeiro"	"2014"	"Além de lindo é muito legal.Interessante a ideia de ficar na água e não afundar de jeito nenhum.O visual é maravilhoso, pois quando não tem ninguém na água o fervedouro fica parecendo um espelho. "
"131"	"NelsonCunha"	"13"	"dezembro"	"2014"	"Santa Cruz do Sul"	"RS"	"dezembro"	"2014"	"Experiência única e inesquecível, tendo em vista o seu ineditismo,Para preservar o local, somente é permitida a entrada de no máximo seis pessoas, a cada vinte minutos"
"132"	"Socorro M"	"11"	"dezembro"	"2014"	"Natal"	"RN"	"dezembro"	"2014"	"A alegria de voltar a ser criança. Brincar, rir, pular dentro d'água sem conseguir afundar é maravilhoso!"
"133"	"Lulis_sbc"	"9"	"dezembro"	"2014"	"São Bernardo do Campo"	"SP"	"junho"	"2014"	"Incrível não afundar!!! é impressionante... Lá no fervedouro você tenta e não consegue. Não precisa saber nadar... você snão afunda. água limpa e deliciosa no Tocantins emoldurada por verde. "
"134"	"Frateneto"	"3"	"dezembro"	"2014"	"ândia do Tocantins"	"TO"	"novembro"	"2014"	"Uma experiência incrível e inédita. Imagine um poço de água transparente onde você simplesmente não afunda. Uma sensação maravilhosa para banho e brincadeiras. As crianças adoraram."
"135"	"AndreKirsten"	"2"	"dezembro"	"2014"	"São Paulo"	"SP"	NA	NA	"Só sentindo a experiência de flutuar em pé pra saber o que é.Tem um ecossistema bem bonito pra ser visto em baixo d'água. Vale levar óculos de natação e câmera pra tirar fotos lá em baixo."
"136"	"emartins2014"	"11"	"novembro"	"2014"	"Sabará Minas"	"Gerais"	"junho"	"2014"	"Amei o Fervedouro do Alecrim! A cor da água, os peixes e todo o entorno. Esse fervedouro fica próximo ao cenário do filme Xingu."
"137"	"Andre_NKT"	"11"	"novembro"	"2014"	"Niterói"	"RJ"	"novembro"	"2014"	"Fui em 3 fervedouros, em somente um era possivel afundar porém é o mais belo, água super cristalinas."
"138"	"Vonheld"	"10"	"novembro"	"2014"	"Rio Janeiro"	"RJ"	"abril"	"2014"	"O fervedouro é um poção muito doido. Água muito clara e transparente e temperatura muito boa. Mas o que é mais louco e legal é que a nascente vem em forma de um chafariz subaquático, fazendo uma nuvem de areia (que é bem fininha) e com uma pressão que fica impossível de afundar. É bem difícil de explicar o que é aquilo ali! E não tentem ficar mergulhando pra achar o fundo, além de não conseguirem e serem rapidamente jogados para cima, vão ficar com os ouvidos com muita areia!"
"139"	"Nanera"	"8"	"novembro"	"2014"	"Cotia"	"SP"	"novembro"	"2014"	"É uma sensação muito diferente, só estando lá mesmo para sentir e entender...É uma nascente de Rio, ou seja, a água brota do chão e fica borbulhando, impedindo que afundemos. Muito divertido e com muita natureza em volta. Só se preparem para sair cheios de areia no biquini, bermuda...Mas ali mesmo tem um rio que podemos nos lavar para tirar a areia...Paga-se 10 reais para entrar e só é permitido 6 pessoas por vez dentro da \"piscina\", revezando a cada 20 minutos...quando fomos não tinha ninguém...aí deixaram ficar quase 1 hora..."
"140"	"leo19092014"	"6"	"novembro"	"2014"	"João Pessoa"	"PB"	"julho"	"2014"	"Aguás cristalinas misturada com areia, ótimo para quem não sabe nadar, não afunda mesmo, as crianças adoram é bom para todas as idades."
"141"	"Anderson R"	"31"	"outubro"	"2014"	"Manaus"	"AM"	"novembro"	"2013"	"Chegar lá, como em qualquer lugar do Deserto do Jalapão, não é fácil.Não é fácil mas é inesquecível. É turismo de aventura MESMO!Pronto, chegou!Aí o que se vê é fascinante (e o que se sente é ainda mais).O lugar é lindo e surpreendente.Não precisa saber nadar, a força da água não te deixa afundar nem que você queira. Ela te joga prá cima, praticamente \"te cospe\".Mas não vou negar que é agonizante aquela sensação da força da água te empurrando prá cima.Um belíssimo espetáculo, talvez a maior atração do Jalapão.mAS FIQUE DE OLHO... por ser cercado de Buritizais, a chance de ver uma cobra por lá é grande.IMPERDÍVEL!"
"142"	"MariMegale"	"28"	"outubro"	"2014"	"Belo Horizonte"	"MG"	"julho"	"2014"	"Maravilhoso fenômeno da natureza!! Com água cristalina, proporciona uma surpresa ao entrar naquele que parece um mini lago de águas rasas... A nascente do rio, borbulhando, não permite que se afunde e você fica boiando neste paraíso rodeado de bananeiras."
"143"	"Marcia272014"	"28"	"outubro"	"2014"	"Tocantins"	NA	"abril"	"2014"	"gostei de tudo, o contato com a natureza e suas peculariedades nos renovam.Nao temos nada a reclamar, foi tudo perfeito"
"144"	"Atilajr_1"	"20"	"outubro"	"2014"	"Palmas"	"TO"	"outubro"	"2014"	"O fervedouro é de fácil acesso, fica a aproximadamente 20km de Mateiros na estrada que liga esta cidade à São Félix. É um grande poço de água cristalina, onde a água brota da areia, e com sua força, é impossível que o banhista afunde! Vale a pena fica um bom tempo relaxando nestas águas..Fui pela primeira vez em 2007 e praticamente nada foi feito para melhorar a infraestrutura e proporcionar qualidade ao turista. Falta banheiro e também poderia ser vendido bebida ou comida típica neste local. Seria bom para o turista e pro proprietário que explora este ponto turístico.."
"145"	"jeversonlima"	"11"	"outubro"	"2014"	"Palmas"	"TO"	"novembro"	"2013"	"Ao visitar a região do jalapão, não deixe de passar por aqui, o lugar é lindo e seu caminho reserva bos aventuras! Nesse atrativo que é apenas um olho de água grande, vc não consegue afundar e não há como saber a profundidade, uma adorável sensação de levitação em água! Vale muito a pena! Visite!"
"146"	"VS-Lela"	"21"	"setembro"	"2014"	"Brasília"	"DF"	"setembro"	"2014"	"É o lugar que não se deve deixar de visitar. Na verdade há diversos fervedouros na região, mas há um principal, que sai nas fotos do Jalapão cercado de bananeiras. Mergulhei e de fato verifiquei que há pequenos mananciais subterrâneos, que não nos deixam submergir. Vale muito a pena!"
"147"	"pcapela"	"8"	"setembro"	"2014"	"Brasília"	"DF"	"outubro"	"2013"	"É daquelas experiências em que é preciso sentir - só ver os outros não afundarem não é suficiente. Vc vai andando dentro da água, em direção ao fervedouro. De repente não dá mais pé e vc simplesmente não afunda! Saímos de lá cheios de areia dentro das roupas de banho e muito satisfeitos. :)"
"148"	"585TINA"	"5"	"setembro"	"2014"	"São Paulo"	"SP"	"setembro"	"2014"	"Leve roupa de banho para trocar...vocec vai carregar na pele , na roupa, a fina e branca areia do fervedouro do Jalapão...em literalmente tudo...todos os cantinhos do teu corpo."
"149"	"BrunogJorge"	"1"	"setembro"	"2014"	"Niterói"	"RJ"	"agosto"	"2014"	"Os melhores fervedouros são o da Formiga,Mumbuca, Rio Novo, Alecrim e Ceiça. Cada um com uma particularidade e beleza inigualável! Vale a pena conferir cada um tirar suas próprias conclusões. Dica leve camera sub-aquática!"
"150"	"Sumocar"	"25"	"agosto"	"2014"	"Barueri"	"SP"	"agosto"	"2014"	"Muito engraçado flutuar nas areias do fervedouro. Não tem como não gostar e também como não sair cheio de areia. Mas é muito legal a experiência."
"151"	"Filomena C"	"20"	"agosto"	"2014"	"Niterói"	"RJ"	"agosto"	"2014"	"Mágico!!! Parece que vc está pisando em areia movediça, só que vc não afunda. Tem um número mínimo de pessoas pra ficar dentro (6) mas quando a gente entra, não quer mais sair."
"152"	"Trilhas J"	"19"	"agosto"	"2014"	"Palmas"	"TO"	"julho"	"2014"	"Por mais que tente você não vai conseguir afundar nos fervedouros. É uma sensação única, indescritível.  "
"153"	"RAQUELMONTEIRO2014"	"17"	"agosto"	"2014"	"Niterói"	"RJ"	"agosto"	"2014"	"A sensação é de que estamos caminhando nas nuvens. Demais!!!! Caso o atrativo esteja cheio o numero de pessoas é restrito para se banhar, então pode ser que demore um pouquinho até você experimentar esta sensação..."
"154"	"MarMiShi"	"15"	"agosto"	"2014"	"Sao Bernardo Do"	"Campo"	"novembro"	"2013"	"A experiência de mergulhar nessas nascentes de águas límpidas e mornas eh indescritível! A areia eh tão fina que tem uma textura diferente de tudo o que já havia experimentado!"
"155"	"Osmar B"	"14"	"agosto"	"2014"	"São Paulo São"	"Paulo"	"setembro"	"2013"	"Não tem como não elogiar este local e fantastico, magico agua cristalina, fundo de areia branca, peixinhos rodeando e não tem um so fui em dois"
"156"	"BRUNO13092014"	"10"	"agosto"	"2014"	"João Pessoa"	"PB"	"julho"	"2014"	"Lugar de sensações diferentes quando você entra correndo de preferencia afunda no meio num buraco parecendo areia movediça ,mas logo em seguida o fervedouro te joga para cima e não deixando você afundar."
"157"	"angelaym"	"8"	"agosto"	"2014"	"São Paulo"	"SP"	"julho"	"2014"	"Um local incomum, um pequeno lago, rodeado de bananeiras onde as pessoas, no máximo 4 de cada vez, boiam na água límpida. Por mais que se queira afundar, uma força o impulsiona para cima. É incrível!"
"158"	"Celina_M_Moraes"	"27"	"julho"	"2014"	"São Paulo São"	"Paulo"	"julho"	"2014"	"Há dezenas de fervedouros pelo Jalapão e são todos nascentes impressionantes. Encantam adultos e crianças. Recomendação importante: depois de sair do fervedouro todo mundo precisa tomar um super banho de rio porque a areia é muito fina e precisa ser retirada para se evitar desconfortos maiores!"
"159"	"Flavia_Krol"	"21"	"julho"	"2014"	"Santo André"	"SP"	"julho"	"2014"	"Uma experiência incrível ir aos Fervedouros do Jalapão. Conheci o da Ceiça e do Alecrim! Tivemos a sorte de poder ficar mais de uma hora pois no momento não tinham outros turistas..."
"160"	"VicenteTomazi"	"21"	"julho"	"2014"	"São Paulo"	"SP"	"julho"	"2014"	"Se você vai atrás de um fervedouro no Jalapão, que na verdade são muitos, opte pelo Fervedouro dos Buritis. É o mai bonito de todos e você pode ficar lá por um bom tempo, sem esperar na fila e sem limite de tempo para desfrutar..."
"161"	"faustoprieto"	"20"	"julho"	"2014"	"Mogi das Cruzes"	"SP"	"julho"	"2014"	"Conhecemos dois. O da Glorinha e do Soninho. Incríveis ressurgências de rios subterrâneos. Mantém as pessoas flutuando num misto de água e areia muito fina. Só conhecendo de perto"
"162"	"Paulo S"	"19"	"julho"	"2014"	"São Paulo"	"SP"	"julho"	"2014"	"Esse é um lugar obrigatório de se conhecer no Jalapão. Um bom horário é o meio da tarde, com bastante calor."
"163"	"HelenaEstrela"	"10"	"julho"	"2014"	"São Paulo"	"SP"	"maio"	"2014"	"muito gostoso ficar boiando nestas águas, ainda mais que você não afunda, falta banheiro e lugar para comprar comido"
"164"	"Recicolin"	"1"	"julho"	"2014"	"Campinas"	"SP"	"agosto"	"2013"	"Uma delícia poder ficar ali, sem esforço, sem apoio e sem afundar... Entrar correndo é muito legal. O lugar tem controle de acesso, não permitindo muitos turistas ao mesmo tempo o que é ótimo. Adorei!"
"165"	"Guilherme J"	"1"	"julho"	"2014"	"Recife"	"PE"	"abril"	"2014"	"Banho em uma nascente de água quentinha e incrivelmente transparente na qual você não consegue afundar e cercado de vegetação. Parece o cenário de um filme :)"
"166"	"ClaudenirK"	"20"	"junho"	"2014"	"Palmas"	"TO"	"junho"	"2014"	"Não tem como ir até o Jalapão sem conhecer vários fervedouros. O mais frequentado é o Mumbuca.Prefira horários menos frequentados."
"167"	"NeilaLB"	"17"	"junho"	"2014"	"Pium"	"TO"	"junho"	"2014"	"Apreciei pelas características dos fervedouros que visitamos, cada um com suas peculiaridades A limpeza da água, água cristalina, a temperatura da água, a localização, a rusticidade do ambiente que esconde dentro de si, essa  jóia rara, que é o fervedouro."
"168"	"Ediperegrini"	"10"	"junho"	"2014"	"Palmas"	"Tocantins"	"abril"	"2014"	"o Atrativo é impressionante, agua transparente, areia brilhante e a incrivel sensação de estar flutuando.Apesar não ter estrutura de recepção adequada ao turista, tudo muito rústico, o local é muito bonito."
"169"	"Atilajr_1"	"10"	"junho"	"2014"	"Palmas"	"TO"	"julho"	"2013"	"O fervedouro existe porque o lençol freático, neste local, está bem à superfície, fazendo com que a água jorre para o exterior com grande força e fluxo.. Então neste local é impossível que você afunde!! Muito interessante e agradável pois não tem que se preocupar em nadar, basta estar neste poço para que flutue.. O banho é muito relaxante, reserve bastante tempo para desfrutar desta beleza natural, pois às vezes fica lotado e tem que esperar para chegar sua vez de entrar no fervedouro.. Já visitei 3 vezes e espero retornar!"
"170"	"thatissf"	"9"	"junho"	"2014"	"Rio"	"Janeiro"	"junho"	"2014"	"Nunca tinha entrado em um fervedouro antes e achei fantástico... a água muito clara e morninha que não deixa a gente afundar, a vegetação dos arredores... que lindeza!"
"171"	"BerniFluk"	"30"	"maio"	"2014"	"Ourinhos"	"SP"	"maio"	"2014"	"O que é isso??? Os fervedouros do Jalapão são incrivelmente mágicos. As crianças foram as primeiras a entrar e não queriam sair, logo depois, nós adultos entramos e quase não saímos mesmo, kkkkkkkk"
"172"	"Pedrow-GO"	"26"	"maio"	"2014"	"Goiânia"	"GO"	"julho"	"2013"	"Por mais que você já tenha lido e ouvido falar sobre os fervedouros , quando você se depara com aquele \"poço\" de águas transparentes e uma areia branca super fina sendo possível inclusive ver a sombra dos peixes no fundo da água , vão lhe faltar palavras. A beleza é impressionante, os fervedouros são rodeados de bananeiras deixando um toque mais especial ainda a sua beleza , como pode haver um oásis no meio de uma vegetação tão seca e deserta.Ao entrar outra surpresa , a água é quente pois sai direto do subterrâneo  e a areia parece um pó bem fino e é impossível afundar também devido a pressão da água que sai do fundo do poço e é lançada com pressão pra cima , demora um pouco para pegar o equilíbrio mas depois que pega você fica horas ali brincando na água igual criança. A um limite de turistas que podem entrar de uma vez  e também um limite de tempo mas como fui em uma época que não tinha ninguém na atração , fiquei com o fervedouro só para meu grupo de 4 pessoas. Ao todo na região  são 13 fervedouros já descobertos(informação que um nativo nos passou) porem os mais conhecidos e que são visitados pelos turistas são somente 4 ou 5 deles, não sei se os outros não são divulgados pelo motivo de localização ou de preservação porem os de fácil acesso são magníficos. Geralmente é cobrado 10 reais por pessoa como taxa de manutenção."
"173"	"Pedrocmendes"	"16"	"maio"	"2014"	"Passos"	"MG"	"julho"	"2013"	"local onde nascente da aguas na região, onde podemos nadar, relaxar..... sem preocupar com nada, para freqüentar temos q pagar 5 reais, com limite de pessoas por vez"
"174"	"Sonia E"	"14"	"maio"	"2014"	"Rio Janeiro"	"RJ"	"junho"	"2013"	"Eu fui até lá porque não acreditava.Mas a gente flutua até em pé! E não tem fundo! Faz cosquinha o movimento da areia na água, e dá um friozinho na barriga..."
"175"	"Flaviocasanova"	"1"	"maio"	"2014"	"Rio Janeiro"	"RJ"	"abril"	"2014"	"Sensação única, muito bom. Pena que faltam informações sobre acesso, infra estrutura e pessoas para cuidar e dar informações."
"176"	"GlaucimaraSilva"	"26"	"abril"	"2014"	"Belo Horizonte"	"MG"	"abril"	"2014"	"Só indo e experimentando para entender o significado da \"água elástica\". Únicos, os fervedouros são incríveis. O do Seisa é mesmo um dos mais impressionantes e fortes, mas não deixe de conhecer os demais fervedouros da região de Mateiros. São mesmo muitas opões!"
"177"	"Renata R"	"26"	"abril"	"2014"	"Rio Janeiro"	"RJ"	"abril"	"2014"	"Não tem como descrever...só indo lá para passar por uma das experiências mais loucas da sua vida! Muito muito bom!"
